Title,URL,Managed By,Small Description,CAGR time period,CAGR rate,Volatility,Overview,Minimum investment amount,Launch Date,Past performance: Small Case,Past performance: Equity,Past performance: FD,Past performance: Inflation,CAGR: Small Case,CAGR: Equity,CAGR: FD,CAGR: Inflation,Number of Smallcases managed by Manager,About manager
smartvalues - weighted,"https://www.smallcase.com/smallcase/LMRMO_0002
",Lamron Analysts,A mix of Nifty 50 stocks weighted proportionate to their momentum profile,1Y,3.17,High ,"This is a collection of upto 8 Nifty stocks.These stocks meet the momentum criteria of our models and are in a long term trend which is expected to continue.These are blue chip stocks in a smallcase that is expected to generate a return in excess of that generated by the Nifty 50 indexThese stocks are weighted according to their momentum profile, so that stocks that have greater momentum have a greater weightageThis basket is for investments upto Rs 5 lacs. For investments higher than this amount, please send a mail to info@lamronanalysts.com",54000,28/04/2017,311.54,184.56,132.65,126.33,26.01%,13.08%,5.83%,4.80%,0,"Soumitra Sengupta has over 20 years experience in investing in India and US. He has designed and invested through quantitative systems. His forte is in identifying and tracking momentum and identifying longterm trends.Soumitra has experience across domains including accounting, auditing, banking, risk management and investment management. This diverse experience helps him in designing the criteria for selection of smallcases"
Alternative Income & Growth,"https://www.smallcase.com/smallcase/ADTNM_0002
",Advent,Curated portfolio of REITs & InvITs that offers a blend of regular income and capital growth,1Y,13.31,Low ,"In investing, “Diversification&nbsp;is the only&nbsp;free lunch” - Harry Markowitz.For most investors, diversification tends to end with stocks and bonds. However, contrary to common perception, there exists a wide array of investment options which can help in diversifying the portfolio and optimise its risk adjusted performance.Real Estate Investment Trust (REIT) and Infrastructure Investment Trust (InvIT) are among such instruments that enable investors to diversify their portfolios beyond stocks and bonds.While this is an emerging asset class in India, there is data available from global markets that presents evidence of a robust historical performance with relatively lower correlation to stocks and bonds.This strategy aims to provide an alternative investment avenue to investors, offering a blend of regular income and capital growth.It is suitable for investors with a medium to long term time horizon and a moderate to high tolerance for price volatility.",100000,28/02/2022,NOT Available,NOT Available,NOT Available,NOT Available,NOT Available,NOT Available,NOT Available,NOT Available,0,"I am registered with SEBI as an Investment Adviser and I have a diversified experience of 20+ years in financial services across savings and investment products.In 2015, I founded Advent Financial, a boutique advisory firm with a unique and highly differentiated life-centred approach to financial planning wealth management.I am a member of the CFA Institute, CFA Society India, ARIA (Association of Registered Investment Advisers) and my qualifications are as follows:PGDBM - Fore School of Management, New DelhiCertified Financial Planner (CFP CM) - Financial Planning Standards Board, USARegistered Life Planner® - The Kinder Institute of Life Planning, USAThrough smallcase, it is my endeavour to share the knowledge regarding investments that I have learned over the years in the form of actionable investment strategies that are simple, effective and evidence based."
Marvel,"https://www.smallcase.com/smallcase/JNMMO_0001
",Jainam,Marvel is all about selecting a long term compounders through detailed Research from the BSE500 to generate Alpha.,2Y,33.62,Medium ,"Marvel - A Model Portfolio, designed for Long Term Investors where by Jainam Research Team does rigorous Bottom Up Research - Qualitative and Quantitative on S&amp;P BSE500 to generate Alpha over the Benchmark. ",70002,12/05/2016,425.02,217.36,141.37,131.42,27.96%,13.94%,5.99%,4.70%,0,"Tejas Jariwala is the Research Head at Jainam Share Consultants Pvt Ltd. He Has been practicing Equity Research and Investment Advisory for the last 10+ Years. Tejas have developed skill and hand on experience on Bottom Up Research which covers Fundamental Analysis in detail I.e Quantitative and Qualitative Analysis. Jainam Share Consultants Pvt Ltd is one of the leader in South Gujarat provides all kind of Financial Services. Tejas and his team has developed different style of Portfolio and delivered well in terms of Alpha over the benchmarks since 6+ years for the clients. He is a MBA and B.Com graduate from Veer Narmad South Gujarat University, Surat, India. He has formerly worked with South Gujarat Shares &amp; Sharebrokers Limited and Concept Securities Pvt Ltd."
Momentum with safety,"https://www.smallcase.com/smallcase/PRUMO_0001
",Prudent Cap,The portfolio uses our inhouse  AI algorithm to generate high returns at lower risk.,2Y,32.85,Medium ,"Portfolio is designed to outperform the markets in both bull and bear run. Our AI algorithm analyzes 400 handpicked stocks and identifies those which have high return potential at less then market risk for a period of next 1-2 months without any bias. This is to ensure that your portfolio performs similar to a smallcap index in bull market where as in bear market it's fall is much less than any pure equity based portfolio.Clarification on volatility-Our volatility is LOW and the high volatility is mentioned&nbsp;because Smallcase rates any 100% equity based portfolio as ""highly volatile"" by default if it was launched less than 1 year back.",124684,19/08/2019,183.07,127.73,129.66,116.05,16.53%,6.30%,6.70%,3.78%,0,"Ashish Shekhar is BE and MBA from MDI Gurgaon and ex Microsoft data scientist with more than 13 years of experience in capital markets in equity and derivatives. He is passionate about application of quantitative techniques in investing and developed several machine learning algorithm-based investing systems (Not rule based algo trading) to- identify best stocks- Predict market trend (Nifty and broader market)&nbsp;- Limit risk in the portfolio to a pre-defined limit.&nbsp;His endeavor is to build portfolios which can deliver handsome returns at lower risk. Portfolio are designed to outperform markets in both bull and bear scenarios. Regular rebalancing is done every month . Originally a technology professional and having worked for Large global MNCs like Microsoft, Accenture, IBM, P&amp;G, he became SEBI registered in 2017. He is also regular speaker at data science conferences organized by BITS Pilani.&nbsp;"
Proinvest Nirmiti SIP,"https://www.smallcase.com/smallcase/PROMO_0001
",Proinvest Nirmiti,"Invest in companies having enduring competitive advantage, strong cash flows & asset light business",2Y,26.86,Medium ,"Before starting this fund we studied the companies which have created disproportionate wealth for shareholders in the past decade.We found out that the companies possessed on or more of the following Qualities which helped them build competitive advantage in the long run and hence create tremendous value for shareholdersScalable Business Model-Companies which are able to Scale Up quickly are the oneswho will dominate the market &amp; earn superior cash flows,with higher margins for a longer time.As these companies eventually end up holding a large marketshare in their sectors, going ahead they define the rules of the game.Intangible Assets-Over the past years many companies have built great brands&amp; separated themselves from the herd. Now they areleveraging this brand equity &amp; introducing newer products &amp;services under the same brand.Customer Switching Costs-Successful companies typically try to employ strategies thatincur high switching costs on the part of consumers todissuade them from switching to a competitor's product, brand, or services.Cost Advantage-Economies of Scale can create strong entry barriers in some industries. This leads to immense bargaining power both from customer &amp; vendors.",45929,29/07/2016,547.19,198.78,139.38,130.19,35.11%,12.73%,5.96%,4.71%,0,"Dr. Avanti Doshi, Principal Officer at Nirmiti Investment Advisors, a SEBI registered Investment Advisor, actively tracks the Healthcare sector. She is a dedicated financial planner &amp; helps her clients with goal based financial planning. After taking a detailed case history from clients she works on formulating a personalized financial plan. Sharing unbiased advice about the market instruments is her Motto.&nbsp;Jaydeep Doshi is the Fund Manager of Proinvest Nirimiti &amp; founder of Proinvest Wealth Manager’s, a Pune based boutique wealth management company. In order to stick to his passion of studying various businesses, he has spent his entire working career in the field of Investments. He strongly believes that wealth can be created only in long run by investing great businesses with extraordinary managements. The mantra for success in investments is to limit your mistakes, and for that the focus should be on Quality. Over the past 15 years he has successfully built trust of over 3000 clients &amp; manages around ₹ 400 crores across various financial products. He also advises various Trusts, Educational Institutes &amp; Midsize corporates to manage their treasury. Apart from earning his MBA-Finance from Chetana Institute - Mumbai, he has also acquired certification in Behavioural Finance from IIM-Ahmedabad. Before starting Proinvest, Jaydeep had worked with Motilal Oswal and ASK. Jaydeep manages Proinvest Nirmiti along with 3 analysts and various external research consultants."
SUN,"https://www.smallcase.com/smallcase/LAMMO_0001
",LaMoksh,"Core portfolio comprising of high quality, very large cap, large cap & emerging large cap companies.",1Y,26.37,Low ,"Just like SUN provides stability and balance, the aim of the portfolio is to provide a stable core portfolio of high quality companies. These are companies with usually very high standards of corporate governance, sustainable high growth, low debt in the balance sheet and consistent high performance.The securities have been derived from a pool of top 100 companies in terms of market capitalization.At times, portion of the portfolio can sit in cash through instruments like LIQUIDBEES.The portfolio is largely stable, requires low churn, aims for consistency and suitable for investors looking for lower equity volatility. It consists of around 15 stocks and goes through the screening grind of several financial indicators before its inclusion.The tenure of the investment in this portfolio should be long ( at least 3-5 years). Investors looking for quick returns on their investments should avoid this portfolio. They should also keep their asset allocation in mind while investing here. Ideal investment size should be in excess of 1 lac INR.Happy Investing. Hope you enjoy the methodical process and journey of creating wealth.",42977,06/05/2021,283.03,162.24,126.1,115.68,30.12%,12.82%,5.95%,3.70%,0,"Gaurav has a rich experience of 2 decades in the financial industry in India &amp; Singapore. He has worked with large Private Banking Institutions like Barclays Wealth and ICICI International Private Banking as a Private Banker and with IIFL wealth and ICICI Bank as an Investment Adviser.&nbsp;His core competency lies in client engagement, financial planning and identifying right set of products for the clients.Gaurav is post graduate from Indian Institute of Foreign Trade, New Delhi (1998-2000).&nbsp;Currently he is working on his own as an entrepreneur and is registered with SEBI as an Investment Adviser"
Small Cap Growth Strategy,"https://www.smallcase.com/smallcase/VLSMO_0028
",Value Stocks,This Strategy has quality small cap stocks based on proprietary predictive analytics model.,2Y,50.22,High ,Sales EPS ROE,500000,20/11/2015,748.96,218.57,146.17,134.27,37.46%,12.94%,6.09%,4.69%,0,"Mr Shailesh Saraf, MD-DEPL & Founder -Value Stocks, has been in the Stock Market for 28 years. His App Value Stocks aims at making investing delightfully simple"
Wealth Protector,"https://www.smallcase.com/smallcase/MRGMO_0003
",MRG Capital,"Curated portfolio for age 50+yrs, Invstmt horizon <2yrs. Low Risk & Medium Return.",1Y,8.17,Low ,"It is a discretionary multi-cap portfolio managed by MRG Capital.The Portfolio will have a maximum of 15 stocks.The strategy is suitable for investors above 50 years of age with very low-risk taking abilities who might need their capital at a very short notice and would expect a dividend yield of 3 – 5% and portfolio with negligible risk to capital.While all equity comes with risk, the portfolio is designed to be a low-risk medium return portfolio i.e. the volatility of the portfolio is less than a broader market indexAll the companies in this portfolio pass a strict muster of top ratios and back tested parameters.&nbsp;",177885,19/02/2021,164.95,161.06,129.58,115.76,13.41%,12.55%,6.64%,3.70%,0,"Manu started investing not by choice but under compulsion to augment money for his education and to support family. This necessity evolved into a hobby and now eventually into a profession. He has been investing for a host of Friends and Families over the last two decades. Manu Firmly believes that any portfolio manager claiming to beat the Buffet Hurdle of approx. 20% should have become more successful than Warren Buffet himself. The fundamental tenet of MRG Capital is rooted to protect and grow capital over a period of time rather than a relentless and insatiable need to outperform other funds or indices.He is an active blogger and writes on leadership, finance and philosophy. He also actively contributes on The Huffington Post.For the record he is an MBA in Finance with ‘The Best MBA Citizen’ award from Warwick Business School, UK."
FtM - Value India,"https://www.smallcase.com/smallcase/BWEMO_0004
",InvestorAi,Harness the power of AI to buy good companies that are temporarily undervalued,1Y,18.3,Medium ,"Invest in a smallcase which has been intelligently selected by our powerful AI platform, InvestorAi. It uses&nbsp;proprietary quant algorithms&nbsp;usually available only to institutional investors. You have the opportunity to Follow the Machine (FtM) – benefitting from its vast computing power and track record without any natural human bias.&nbsp;The underlying algorithm for this FtM portfolio is Value Investing which identifies good companies that are temporarily undervalued and are predicted to bounce back within 3 months. This algorithm has been running for over 3 years with an accuracy of 69%, and has delivered a net 56% return on an annualised basis.From approx. 50 opportunities, InvestorAi curates a shortlist of stocks which have low volatility and score well on factors such as capital structure, forward P/E, 60 day relative return, 2 year beta and 1 year standard deviation. Stocks are graded based on short term momentum. (For details on features and KPIs please refer our blog)This InvestorAi FtM portfolio is constructed with a balance of cyclical and defensive stocks with sector diversification. All curated stocks are run through a&nbsp;Monte Carlo simulation (a mathematical technique, which is used to estimate the possible outcomes of an uncertain event), calculating over a thousand possible combinations in order to deliver a 10 stock smallcase with the strongest returns and lowest 3 year volatility.&nbsp;",4652,04/01/2016,687.11,220.4,144.89,133.48,36.38%,13.36%,6.06%,4.69%,0,"InvestorAi’s mission is to make sophisticated quant research accessible to everyone.&nbsp;Producing investment research like you’ve never seen before, InvestorAi is a powerful AI platform that delivers ideas on global equities and ETFs with stunning levels of accuracy. The algorithms make over 800 million computations every day and have been specifically trained for investment predictions.&nbsp;&nbsp;Our portfolio construction module takes the best InvestorAi insights for Indian stocks and combines them into balanced portfolios with low historical risk and high expected returns.&nbsp;InvestorAi was built by Bridgeweave, a SEBI registered research analyst. Bridgeweave is a high growth international fintech which was set up in 2018 by the former CEO of Barclays Wealth and Investments. The passionate, experienced and credible close-knit team come from the industry and have worked together before. The team comprises AI, data and investment specialists who have previously held senior roles at Goldman Sachs, 3i plc, UBS, D E Shaw, State Street and Citi."
The Prodigals,"https://www.smallcase.com/smallcase/CRWMO_0007
",Creating Wealth,A portfolio of small and midcap stocks who will  be the future leaders.,2Y,24.46,Medium ,"A Portfolio of 25-30 Stocks of market cap between 2500 Cr to 15000 Cr which will eventually become a large cap due to their growth. These are growth stocks,",60566,17/08/2016,397.74,199.12,138.9,129.9,27.96%,12.89%,5.95%,4.71%,0,"Rajendra Raghavendra has about 20 years experience working in Technology, Management leadership roles in Software industry in Bangalore, India. He has lead various software development teams in Cisco India, Nokia India and Infineon Technologies. He is a graduate in Electronics &amp; Communication Engineering from Bangalore University.He has been in the Capital Markets studying, investing and researching publicly Listed Companies, Bond Market, Mutual Fund Industry &amp; Gold/Silver since 5 years now."
Index Advantage | Momentum Investing,"https://www.smallcase.com/smallcase/CRALMO_0005
",Craving Alpha,Invest in stocks of the Nifty 500 that have momentum with valuation as weights  | Rec Amt < 10L,1Y,28.66,Low ,"<a href=""https://cravingalpha.smallcase.com/smallcase/CRALMO_0014"" rel=""noopener noreferrer"" target=""_blank"">Invest in this portfolio, paying only for days you stay invested at 0.16% a monthInvest in top performing stocks of the Nifty 500 with valuations as weightsWe usually base our hypothesis on the <a href=""https://www.investopedia.com/terms/e/efficientmarkethypothesis.asp"" rel=""noopener noreferrer"" target=""_blank"">Efficient Market Hypothesis (EMH) implying all information is reflected in the price. However, if a stock moves in a direction not justified by available information we believe the market knows more, and hence buy rating is triggered on the stock (above fair value + standard deviation).Portfolios focusing on momentum investing tend to overreact during market corrections, we have tried to hedge our portfolio to volatility by using valuation metrics as weights.<a href=""https://cravingalpha.com/letstalk"" rel=""noopener noreferrer"" target=""_blank"">Feel free to schedule a callback with the team.",171608,29/03/2017,918.31,187.8,133.34,126.69,55.87%,13.24%,5.84%,4.78%,0,"<a target='_blank' rel='noreferrer noopener' target='_blank' rel='noreferrer noopener' target='_blank' rel='noreferrer noopener' target='_blank' rel='noreferrer noopener' target='_blank' rel='noreferrer noopener' target='_blank' rel='noreferrer noopener' target='_blank' rel='noreferrer noopener' target='_blank' rel='noreferrer noopener' href=""https://www.linkedin.com/in/mayankmehraa/https://www.linkedin.com/in/mayankmehraa/"" rel=""noopener noreferrer"" target=""_blank"">Mayank is an investor above all else who began Investing at the age of 16. Since then he has been learning from the markets and how it affects the behavior of various participants.&nbsp;Being a stern believer in the ""Efficient Market Hypothesis"", he is always on the lookout for opportunities that may have a high reward but have been ignored by the street for various reasons- which he terms ""<a target='_blank' rel='noreferrer noopener' target='_blank' rel='noreferrer noopener' target='_blank' rel='noreferrer noopener' target='_blank' rel='noreferrer noopener' target='_blank' rel='noreferrer noopener' target='_blank' rel='noreferrer noopener' target='_blank' rel='noreferrer noopener' target='_blank' rel='noreferrer noopener' href=""https://muddywatersinvesting.wordpress.com/2020/12/07/muddy-waters-investing-understanding-the-philosophy/"" rel=""noopener noreferrer"" target=""_blank"">Investing in Muddy Waters"".- listed here as the ""<a target='_blank' rel='noreferrer noopener' target='_blank' rel='noreferrer noopener' target='_blank' rel='noreferrer noopener' target='_blank' rel='noreferrer noopener' target='_blank' rel='noreferrer noopener' target='_blank' rel='noreferrer noopener' target='_blank' rel='noreferrer noopener' target='_blank' rel='noreferrer noopener' href=""https://cravingalpha.smallcase.com/smallcase/CRALMO_0003"" rel=""noopener noreferrer"" target=""_blank"">Core Portfolio""&nbsp;As someone who believes in ""Time in the market &gt; Timing the Market"", he has attempted to leverage his skills in technology and finance to put together investing strategies that focus on generating alpha with low volatility of returns- two of which are published here.<a target='_blank' rel='noreferrer noopener' target='_blank' rel='noreferrer noopener' target='_blank' rel='noreferrer noopener' target='_blank' rel='noreferrer noopener' target='_blank' rel='noreferrer noopener' target='_blank' rel='noreferrer noopener' target='_blank' rel='noreferrer noopener' target='_blank' rel='noreferrer noopener' href=""https://cravingalpha.com/faq"" rel=""noopener noreferrer"" target=""_blank"">Please check Craving Alpha FAQ<a target='_blank' rel='noreferrer noopener' target='_blank' rel='noreferrer noopener' target='_blank' rel='noreferrer noopener' target='_blank' rel='noreferrer noopener' target='_blank' rel='noreferrer noopener' target='_blank' rel='noreferrer noopener' target='_blank' rel='noreferrer noopener' target='_blank' rel='noreferrer noopener' href=""https://www.cravingalpha.com/post/detailed-disclosures"" rel=""noopener noreferrer"" target=""_blank"">Please read the Detailed Disclosures here"
Capitalmind Low Volatility,"https://www.smallcase.com/smallcase/CMDMO_0001
",Capitalmind,A factor-based portfolio of stocks showing relatively lower price volatility than the market,1Y,6.6,Medium ,"Capitalmind Low Volatility holds a diverse portfolio of stocks demonstrating&nbsp;relatively&nbsp;lower volatility than the market, rebalanced quarterly.",77165,01/02/2017,212.42,197.01,134.71,127.38,15.76%,13.87%,5.87%,4.74%,0,"Capitalmind is a Bengaluru-based portfolio management service. Deepak is&nbsp;CEO and Founder&nbsp;at Capitalmind. He has over 20 years of experience in investing and the stock market. Prior to Capitalmind, he co-founded two start-ups (Agni Software and Moneyoga). Anoop manages Capitalmind Premium and runs the Momentum Portfolio in the Capitalmind PMS. He has worked as a Management Consultant with Kearney, and has held leadership roles at Honeywell, and Microsoft."
myMoneySage Premier Equity,"https://www.smallcase.com/smallcase/MMSMO_0002
",myMoneySage,"The strategy is using a blend of value, growth & momentum to generate superior risk adjusted returns",1Y,12.44,Medium ,"myMoneySage Premier Equity Stock Portfolio strategy is using a blend of value, growth &amp; momentum investing to provide superior risk adjusted returns. The portfolio of Direct equity are constructed taking the following factors into account:·&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;The portfolio tracks top Nifty 500 stocks across market-cap i.e. Large cap, mid cap &amp; small cap &amp; allocated as per Sectoral outlook &amp; performance to enhance returns·&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Stocks or sectors of a portfolio are adjusted based on the valuation, the health of a specific sector, broader macro trends, presence of a broad-based bear or bull market tracked using robust financial models and allocation models·&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Stocks are selected for investment based on well-established drivers of performance i.e Good value, strong momentum, High quality, low volatility and higher weightage in Indices·&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Strong &amp; profitable companies are selected using fundamental analysis &amp; technical analysis based on strong robust and quantitative models of historical &amp; fore-ward looking data·&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Diversification &amp; optimization is done through statistical analysis, quant analytics and periodic rebalancing.&nbsp;",300000,31/03/2017,255.45,187.19,133.3,126.67,20.69%,13.18%,5.84%,4.78%,0,"myMoneySage is an award-winning fin-tech company and SEBI registered investment advisor that amplifies wealth creation for individuals leveraging Behavioral science and AI. We are a fee-only advisory and wealth management company that provides risk-appropriate, returns-optimized, well diversified and tax-managed investment strategies.&nbsp;myMoneySage is a unique 3 in one app for Money Management, Financial planning &amp; Investment Management where thousands of investors manage their finances.&nbsp;This smallcase portfolio&nbsp;is specially curated to provide superior risk adjusted returns. It&nbsp; remains focused on good quality stocks identified on the basis of extensive research using fundamentals, business moat, earnings (historical &amp; foreward looking), industry analysis along with other key factors like technical &amp; statistical to generate alpha for the investors."
Moon,"https://www.smallcase.com/smallcase/LAMMO_0003
",LaMoksh,Portfolio of around 25 stocks drawn from largely from mid and small cap universe.,1Y,8.9,Low ,"Just like Moon (a satellite of Earth), this portfolio is dynamic and vibrant.This satellite portfolio of quality stocks is aimed at generating high return with high degree of risk over a long period of time. Consists largely of mid and small cap stocks with regular rebalancing of the portfolio based on the performance, targets and micro/macro economic environment. it also incorporate turnaround stories, play momentum, corporate restructuring and investments in cyclical sectors. Recommended investment in this portfolio is in excess of INR 100,000.At times, portion of the portfolio can sit in cash through instruments like LIQUIDBEES.Suitable only for investors who are ready to dig deeper and willing to take extra risks for extraordinary returns. Investors should bear in mind their risk profile, asset allocation and high degree of risk associated with such strategies. Investment should be done for a long period of time stretching to multiple years to derive maximum mileage from this portfolio.Happy Investing. Hope you enjoy the methodical process and journey of creating wealth.",24079,06/05/2021,295.78,163.3,126.12,115.69,31.54%,13.00%,5.95%,3.70%,0,"Gaurav has a rich experience of 2 decades in the financial industry in India &amp; Singapore. He has worked with large Private Banking Institutions like Barclays Wealth and ICICI International Private Banking as a Private Banker and with IIFL wealth and ICICI Bank as an Investment Adviser.&nbsp;His core competency lies in client engagement, financial planning and identifying right set of products for the clients.Gaurav is post graduate from Indian Institute of Foreign Trade, New Delhi (1998-2000).&nbsp;Currently he is working on his own as an entrepreneur and is registered with SEBI as an Investment Adviser"
XC Quant: Momentum,"https://www.smallcase.com/smallcase/XUMMO_0002
",Xumit Capital,Momentum Portfolio of low-float stocks with clear upward trend,2Y,50.5,Low ,Momentum portfolio of 10-20 stocks that are well diversified in trending sectorsThe trend of the stock is identified using various moving averages and its position between 52-week high and 52-week lowLow-float market capitalization is used as a screener for rapid momentum on the upsideExpansion of P/E is observed during the earning seasons,124624,25/09/2020,435.47,146.95,130.17,116.15,44.19%,9.92%,6.69%,3.75%,0,"Sumit is the Founder and Director of Xumit Capital Private Limited. He is a SEBI Registered Investment Adviser and Research Analyst and has been investing in the Indian stock markets for last 10 years. Started as a fundamental analyst while being a value investor, he added technical analysis studies to his arsenal to understand the dynamics of the price action. He has worked with various private banks and financial institutions in wealth management domain and helped clients create wealth while investing in equity markets. Sumit is an engineering graduate (B.E.) from North Maharashtra University (2003) and holds Post Graduate Program in Management (PGPM) from Great Lakes Institute of Management, Chennai (2010).&nbsp;"
Promising Bluechips,"https://www.smallcase.com/smallcase/MGOMO_0002
",Marketgoogly,Companies having good fundamentals for long term investing.,2Y,35.32,Medium ,"This is a long-term investment strategy that identifies high-quality businesses that can stand the test of time and create wealth over years to come.This small case picks from the top 500 stocks listed on NSE.It consists of companies that have an economic moat around them because of their high Margins.Fundamental criteria like return on equity, debt to equity, and promoters' pledge&nbsp;percentage are used to build the quality score.Additionally, only the companies experiencing increasing operating cash flows are included in this small case.The portfolio will be monitored every week however rebalancing will be done when the need arises to generate relatively higher returns by assuming the least possible risks and the investor will be intimated about rebalancing via email.INVEST TO GENERATE MARKET-BEATING RETURNS FOR LONG TERM GOALS",71104,17/03/2016,349.19,228.58,142.84,132.31,23.14%,14.51%,6.02%,4.70%,0,"Marketgoogly is a financial advisory and tech-based investment platform founded by Khushboo Dhanuka. A passionate entrepreneur who has set the vision for Marketgoogly. She has worked with top investment banks with 11 plus years of industry experience and has served clients globally. She aspires to make wealth management services available to everyone, spread financial literacy, and create a delightful customer experience. One life advice that she follows -The power of habit can transform your life."
Value Investing Smallcase,"https://www.smallcase.com/smallcase/AURMO_0002
",Aurum Capital,"The smallcase is focused on Value with Growth at a reasonable price, turnarounds, special situations",1Y,28.62,High ,"The Value Investing Smallcase is a diversified smallcase based on the principles of value-investing. The strategy completed 3 years on Aug 1, 2021 and has been available on <a href=""https://aurumcapital.in/"" rel=""noopener noreferrer"" target=""_blank"">https://aurumcapital.in/.This is a diversified smallcase comprising of 15-20 stocks with emphasis on risk mitigation and sector-allocation adherence.The founders have endured multiple bull and bear markets and have a combined experience of about 5 decades in value investing. The focus is to create long-term wealth and work towards the financial freedom of subscribers. We also focus a lot on behavioral aspects of investing and focus on process.We will be looking at following opportunities for investment in this strategy.Value+Growth at a reasonable priceTurnaround OpportunitiesMispriced BetsCyclical/commodity StocksSpecial SituationsWe look at companies with good corporate governance practices, and sustainable balance sheets and which have survived past downcycles.Our founders have done extensive dissemination of knowledge in investing. Please visit <a href=""https://aurumcapital.in/blogs"" rel=""noopener noreferrer"" target=""_blank"">https://aurumcapital.in/blogs for details.Recommended investment of &gt; 7 lakhs in the portfolio (lumpsum or over a period). This is not advise but purely to convey for the fees to make commercial sense. How much to allocate is purely investor decision and discretion.Aurum Capital provides only company research under Research Analyst services. Please consult your Investment Advisor before making investment decisions.",700000,03/08/2017,297.29,171.49,130.42,125.15,26.42%,12.10%,5.79%,4.87%,0,"Jiten Parmar: Jiten is an entrepreneur and a passionate long-term equity investor. Jiten has been investing in the market since 1993. He started investing in the Indian equity market since 2002 and prior to that, he invested in the US markets. He has conducted various sessions presenting his approach to investing, what investors should look out when analyzing companies, and the behavioral aspects of investing. Jiten is very well-known in the Indian equity markets and has shared his knowledge and experiences in various forums. Jiten is also a successful entrepreneur. He started his entrepreneurship journey in the mid-90s when he co-founded an IT firm in the USA. Later, he successfully exited by selling it to a Nasdaq-listed company at the peak of the tech cycle. He returned to India and started several successful ventures spanning multiple industries including real estate and flexible laminates industries.&nbsp;Niteen S Dharmawat: Niteen has worked with leading groups including CRISIL and L&amp;T among others. He started his equity market journey 20 years ago as a hobby and ended up pursuing CFA, from CFA institute, USA. His focus is long-term, value investment ideas with sound fundamentals. He is a seasoned professional with areas of expertise spanning across research, corporate sales, marketing, and key account management. As a part of his social responsibility, he conducted several free investor education sessions. He is a continuous learner in the equity market and believes that ""Everything else can stop but learning""."
V.E.C Growth Explorer,"https://www.smallcase.com/smallcase/VECMO_0002
",VEC Investments,Capturing potential upside in companies seeing accelerating growth over medium to long term,1Y,31.04,Medium ,"Current opportunity is driven by emerging competitive trends, changing regulation, formalization of the economy and focus on infrastructure as well as planned capital expenditure by the government which is likely to benefit certain businesses more than the others.",50000,05/01/2021,143.17,161.55,129.47,115.64,9.51%,12.74%,6.67%,3.70%,0,"V.E.C Investment Advisers Private Limited (VEC) has been set up by Mr. Arun Mehra who has been investing in Indian equities since 1997. Mr. Mehra as Head of Investment Strategy &amp; Portfolio Manager set up and launched Fidelity International's India Investment Operation from 2003 -2006 including setting up the India based Equity Research group, the investment process, and structuring as well as launching the International and Domestic India Funds.&nbsp;These were the first Fidelity funds launched on India for the onshore and offshore markets. Also, Arun was one of the first foreign investors to invest in the mid and small cap space in 2004.&nbsp;VEC is engaged in providing research and back office support since 2011. It has been rendering investment advisory services to its clients since 2018. with an objective to provide research based quality investment advise to Indian investors."
ViniyogIndia 🚀 Momentum,"https://www.smallcase.com/smallcase/VIYIMO_0001
",ViniyogIndia,Momentum investing strategy. Suitable for aggressive investors,1Y,36.12,High ,"The basic idea of <a href=""https://viniyogindia.com/quant/viniyogindia-momentum-investing-strategy-smallcase/"" rel=""noopener noreferrer"" target=""_blank"">momentum investing is intuitive. A stock that has been trending strongly for a while is likely to continue doing so a little bit longer. Researchers have described momentum as a “<a href=""https://dualmomentum.net/2013/10/02/momentum-the-practical-anomaly/"" rel=""noopener noreferrer"" target=""_blank"">premier anomaly”. It has been found to work across markets and asset class. This smallcase applies momentum investing strategy to the Indian markets.Portfolio of top 20-25 stocks picked from NSE universe demonstrating strong uptrend.Further refined using a combination of secondary factors to maximize risk-adjusted returnsIlliquidity filter to remove low volume/ turnover stocksBalanced once a month in order to keep % turnover low.Risk managed by limiting exposure to any single stock.",118103,01/02/2011,2168.45,316.99,218.12,193.84,32.11%,10.82%,7.19%,6.07%,0,"Biswarup, founder of ViniyogIndia.com, is a SEBI registered investment advisor and CFA (ICFAI, 2014). He holds a Bachelors in Engineering from Jadavpur University (University Gold Medalist, 1999) and Masters from University of London, UCL (Distinction, 2003). Biswarup has extensive experience in technology with deep interest in Data Science &amp; Machine Learning. He worked nearly two decades in premier Tech. &amp; Consulting companies, including IBM &amp; Accenture. He has 10+ years exposure to the Financial Services Sector including around 5 years in research. Biswarup started ViniyogIndia.com as quant based fintech start-up in 2016, initially working part-time, and then full-time 2017 onwards.	"
